0,0,0
text,airline_sentiment,0
<username> just got my lost kindl in the mail! thank again ,positive,0
<username> fli high thanks!,positive,0
<username> <username> feel like a good day to fly!!  thank for the ontim departur to sna!!   #bestinclass #     ft #takemehom,positive,0
<username> pleas do  hate having to fli a differ airlin  you'r my fav ,positive,0
<username> the best airlin in the world,positive,0
<username> thi is exactli why ill be fli aa from <username> to dallas! onli airlin i trust!,positive,0
<username>    reflight book problemss in last   day and each time unit wait time was &lt   seconds! kudo to you for excel custom service!,positive,0
<username> best custom servic rep in the world! #irmafromdalla take the cake!!!,positive,0
<username> on a happi note our     crew is wonder  can't say enough great thing about our pilot  he' doing all he can for us ,positive,0
<username> beauti view fli into san jose  ca this even http   t co sxvagbrtli,positive,0
<username> i will  thank you for at least tweet me back   better than most  👌,positive,0
<username> claudia in iah termin b travel assist has me all set  great servic  thank you ,positive,0
<username>  cxl flight  rebook   pax no problem  thank you and everyon at aa for help us all out!,positive,0
<username>     &amp       dfw to psp thank you!,positive,0
<username> thank for help my mom after <username> wouldn't let her get on her plane in orlando! you'r the best! #customerservic,positive,0
<username> alway make our cross countri flight rad  <username> here' babi flier charlotte! # thtime monthsold http   t co kcqnwixucm,positive,0
<username> thank for the updat,positive,0
<username> thank for your help! i left a messag for dca lost and found  finger cross we find it!,positive,0
<username> #valentinesday email was on point &amp  so clever! thank for being amaz  #jetblue! #loveisintheair http   t co docmvotwti,positive,0
<username>  fll to mde  great flight  great custom servic  thanks!   mth wait  <username>  to speak to a human at custom servic,positive,0
<username> sent you my confirm via dm  thank you very much,positive,0
"<username> captain ""on behalf of the front offic  welcom on board ""     never heard that before  i laugh   hard   #funnycaptain",positive,0
<username> i love american airlin  d,positive,0
<username> thank you  <username>  your fare to from dtw to dca was much lower than <username> and <username>  thank you! you won me over!,positive,0
<username> you're still the best,positive,0
<username> definitely!,positive,0
<username> thank you kindli ,positive,0
<username> thank  just sent   ,positive,0
<username> make fli for <username> fun! flight crew just led the plane in sing happi birthday to one of our guys! #luvintheair,positive,0
<username> they were breath very heavili  but were super help  thank you ,positive,0
<username> haha   that will inde be a great day!,positive,0
<username> the upgrad to first class was a nice way to fix your earlier mistak  thank you!,positive,0
<username> nice to read it! thank you very much!,positive,0
<username> let' all have a extraordinari week and make it a year to rememb #goingforgreat      thank so much american airlines!!!,positive,0
<username> no apolog requir  i made it home safe thank to you! kudo to aa!,positive,0
<username> stellar custom servic  you have earn my busi by your attent to detail ,positive,0
<username> travel agent darrel here at love field host a paper airplan contest to entertain all the children was so awesom to see!,positive,0
<username> on sunday! can't wait! see you then,positive,0
<username> #closepwc pleas just tweet this🙏🙏❤️ i fli jetblu everi time btw😏,positive,0
<username> ok thank you!,positive,0
<username> thank you for the easi itinerari shift for impend weather  quick  painless &amp  free ,positive,0
<username> show me some love and a companion flight~pleas and thank you!,positive,0
<username> i don’t use passbook =  i still love you though &lt      i’ll just use my email in the futur ,positive,0
<username> thank you for great custom servic  tri to make it to san antonio and your staff and alert have been help  boo ice!,positive,0
<username> thank,positive,0
<username> perfect! that works! thank you!,positive,0
<username> counter agent at rdu deserv a medal  #thankyou,positive,0
<username> complet awesom experi last month bo la nonstop  thank for such an awesom flight and depart time  #vabeatsjblu,positive,0
<username> thanks!,positive,0
<username> that' classi ,positive,0
<username> you are the easiest airlin to deal with   i loveee you so much,positive,0
<username> thank for repli  i sen't my conf #! i love aviat and southwest and all i want for my   th was to fli swa for the day!,positive,0
<username> they just came out  thank for the follow up  that' why you're the best!,positive,0
<username> well lucki i only fli jb  i guess i would be even more squish on any other airlin 😞,positive,0
